target,horizon,feature,feature_label,is_exogenous,coef,abs_coef
Trimmed mean,6,trimmed_mean_cpi_yoy_lag4,"Trimmed Mean CPI YoY (lag 4, autoregressive)",False,-0.0,0.0
Trimmed mean,6,cash_rate_change_lag1,Cash Rate Change (lag 1),True,0.0,0.0
Trimmed mean,6,unemployment_rate_change_lag1,Unemployment Rate Change (lag 1),True,-0.041377,0.041377
Trimmed mean,6,inflation_expectations_business_lag1,Business Inflation Expectations (lag 1),True,0.175392,0.175392
Trimmed mean,6,ppi_growth_lag1,ppi_growth_lag1,True,0.0,0.0
Trimmed mean,6,commodity_growth_lag1,Commodity Price Growth (lag 1),True,0.0,0.0
Trimmed mean,6,wti_growth_lag1,WTI Oil Price Growth (lag 1),True,0.0,0.0
Trimmed mean,6,commodity_growth_lag1_sq,Commodity Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,6,wti_growth_lag1_sq,WTI Oil Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,6,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,-0.0,0.0
Trimmed mean,7,trimmed_mean_cpi_yoy_lag1,"Trimmed Mean CPI YoY (lag 1, autoregressive)",False,0.0,0.0
Trimmed mean,7,trimmed_mean_cpi_yoy_lag4,"Trimmed Mean CPI YoY (lag 4, autoregressive)",False,0.0,0.0
Trimmed mean,7,cash_rate_change_lag1,Cash Rate Change (lag 1),True,0.0,0.0
Trimmed mean,7,unemployment_rate_change_lag1,Unemployment Rate Change (lag 1),True,0.0,0.0
Trimmed mean,7,inflation_expectations_business_lag1,Business Inflation Expectations (lag 1),True,0.0,0.0
Trimmed mean,7,ppi_growth_lag1,ppi_growth_lag1,True,0.0,0.0
Trimmed mean,7,commodity_growth_lag1,Commodity Price Growth (lag 1),True,0.0,0.0
Trimmed mean,7,wti_growth_lag1,WTI Oil Price Growth (lag 1),True,0.0,0.0
Trimmed mean,7,commodity_growth_lag1_sq,Commodity Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,7,wti_growth_lag1_sq,WTI Oil Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,7,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,0.0,0.0
Trimmed mean,8,trimmed_mean_cpi_yoy_lag1,"Trimmed Mean CPI YoY (lag 1, autoregressive)",False,0.0,0.0
Trimmed mean,8,trimmed_mean_cpi_yoy_lag4,"Trimmed Mean CPI YoY (lag 4, autoregressive)",False,0.0,0.0
Trimmed mean,8,cash_rate_change_lag1,Cash Rate Change (lag 1),True,0.0,0.0
Trimmed mean,8,unemployment_rate_change_lag1,Unemployment Rate Change (lag 1),True,0.0,0.0
Trimmed mean,8,inflation_expectations_business_lag1,Business Inflation Expectations (lag 1),True,0.0,0.0
Trimmed mean,8,ppi_growth_lag1,ppi_growth_lag1,True,0.0,0.0
Trimmed mean,8,commodity_growth_lag1,Commodity Price Growth (lag 1),True,0.0,0.0
Trimmed mean,8,wti_growth_lag1,WTI Oil Price Growth (lag 1),True,0.0,0.0
Trimmed mean,8,commodity_growth_lag1_sq,Commodity Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,8,wti_growth_lag1_sq,WTI Oil Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,8,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,0.0,0.0
